Nr;Sample;Tijd;Replica;Category;n;total_count;percentage
1;CBS100280;0;1;1Blastoconidia;200;203;9.852.216.749
2;CBS100280;0;1;2Swollen cells;1;203;0.492610837
3;CBS100280;0;1;3Chlamydospores;0;0;0
4;CBS100280;0;1;4Hyphae;1;203;0.492610837
5;CBS100280;0;1;5Unidentified;1;203;0.492610837
6;CBS100280;0;2;1Blastoconidia;67;71;9.436.619.718
7;CBS100280;0;2;2Swollen cells;3;71;4.225.352.113
8;CBS100280;0;2;3Chlamydospores;0;0;0
9;CBS100280;0;2;4Hyphae;1;71;1.408.450.704
10;CBS100280;0;2;5Unidentified;0;0;0
11;CBS100280;0;3;1Blastoconidia;129;134;9.626.865.672
12;CBS100280;0;3;2Swollen cells;4;134;2.985.074.627
13;CBS100280;0;3;3Chlamydospores;0;0;0
14;CBS100280;0;3;4Hyphae;0;0;0
15;CBS100280;0;3;5Unidentified;1;134;0.746268657
16;CBS100280;3;1;1Blastoconidia;196;197;9.949.238.579
17;CBS100280;3;1;2Swollen cells;0;0;0
18;CBS100280;3;1;3Chlamydospores;0;0;0
19;CBS100280;3;1;4Hyphae;1;197;0.507614213
20;CBS100280;3;1;5Unidentified;0;0;0
21;CBS100280;3;2;1Blastoconidia;62;69;8.985.507.246
22;CBS100280;3;2;2Swollen cells;5;69;7.246.376.812
23;CBS100280;3;2;3Chlamydospores;0;0;0
24;CBS100280;3;2;4Hyphae;1;69;1.449.275.362
25;CBS100280;3;2;5Unidentified;1;69;1.449.275.362
26;CBS100280;3;3;1Blastoconidia;123;137;897.810.219
27;CBS100280;3;3;2Swollen cells;13;137;9.489.051.095
28;CBS100280;3;3;3Chlamydospores;0;0;0
29;CBS100280;3;3;4Hyphae;0;0;0
30;CBS100280;3;3;5Unidentified;1;137;0.729927007
31;CBS100280;6;1;1Blastoconidia;174;194;8.969.072.165
32;CBS100280;6;1;2Swollen cells;17;194;8.762.886.598
33;CBS100280;6;1;3Chlamydospores;0;0;0
34;CBS100280;6;1;4Hyphae;3;194;1.546.391.753
35;CBS100280;6;1;5Unidentified;0;0;0
36;CBS100280;6;2;1Blastoconidia;58;77;7.532.467.532
37;CBS100280;6;2;2Swollen cells;17;77;2.207.792.208
38;CBS100280;6;2;3Chlamydospores;0;0;0
39;CBS100280;6;2;4Hyphae;1;77;1.298.701.299
40;CBS100280;6;2;5Unidentified;1;77;1.298.701.299
41;CBS100280;6;3;1Blastoconidia;100;153;6.535.947.712
42;CBS100280;6;3;2Swollen cells;51;153;3.333.333.333
43;CBS100280;6;3;3Chlamydospores;0;0;0
44;CBS100280;6;3;4Hyphae;0;0;0
45;CBS100280;6;3;5Unidentified;2;153;1.307.189.542
46;CBS100280;9;1;1Blastoconidia;103;179;5.754.189.944
47;CBS100280;9;1;2Swollen cells;76;179;4.245.810.056
48;CBS100280;9;1;3Chlamydospores;0;0;0
49;CBS100280;9;1;4Hyphae;0;0;0
50;CBS100280;9;1;5Unidentified;0;0;0
51;CBS100280;9;2;1Blastoconidia;35;78;4.487.179.487
52;CBS100280;9;2;2Swollen cells;42;78;5.384.615.385
53;CBS100280;9;2;3Chlamydospores;0;0;0
54;CBS100280;9;2;4Hyphae;1;78;1.282.051.282
55;CBS100280;9;2;5Unidentified;0;0;0
56;CBS100280;9;3;1Blastoconidia;36;156;2.307.692.308
57;CBS100280;9;3;2Swollen cells;119;156;7.628.205.128
58;CBS100280;9;3;3Chlamydospores;0;0;0
59;CBS100280;9;3;4Hyphae;0;0;0
60;CBS100280;9;3;5Unidentified;1;156;0.641025641
61;CBS100280;12;1;1Blastoconidia;58;189;3.068.783.069
62;CBS100280;12;1;2Swollen cells;123;189;6.507.936.508
63;CBS100280;12;1;3Chlamydospores;0;0;0
64;CBS100280;12;1;4Hyphae;5;189;2.645.502.646
65;CBS100280;12;1;5Unidentified;3;189;1.587.301.587
66;CBS100280;12;2;1Blastoconidia;22;73;301.369.863
67;CBS100280;12;2;2Swollen cells;50;73;6.849.315.068
68;CBS100280;12;2;3Chlamydospores;0;0;0
69;CBS100280;12;2;4Hyphae;0;0;0
70;CBS100280;12;2;5Unidentified;1;73;1.369.863.014
71;CBS100280;12;3;1Blastoconidia;21;158;1.329.113.924
72;CBS100280;12;3;2Swollen cells;131;158;8.291.139.241
73;CBS100280;12;3;3Chlamydospores;0;0;0
74;CBS100280;12;3;4Hyphae;3;158;1.898.734.177
75;CBS100280;12;3;5Unidentified;3;158;1.898.734.177
76;CBS100280;15;1;1Blastoconidia;47;189;2.486.772.487
77;CBS100280;15;1;2Swollen cells;122;189;6.455.026.455
78;CBS100280;15;1;3Chlamydospores;0;0;0
79;CBS100280;15;1;4Hyphae;14;189;7.407.407.407
80;CBS100280;15;1;5Unidentified;6;189;3.174.603.175
81;CBS100280;15;2;1Blastoconidia;29;102;2.843.137.255
82;CBS100280;15;2;2Swollen cells;66;102;6.470.588.235
83;CBS100280;15;2;3Chlamydospores;2;102;1.960.784.314
84;CBS100280;15;2;4Hyphae;1;102;0.980392157
85;CBS100280;15;2;5Unidentified;4;102;3.921.568.627
86;CBS100280;15;3;1Blastoconidia;14;152;9.210.526.316
87;CBS100280;15;3;2Swollen cells;97;152;6.381.578.947
88;CBS100280;15;3;3Chlamydospores;0;0;0
89;CBS100280;15;3;4Hyphae;23;152;1.513.157.895
90;CBS100280;15;3;5Unidentified;18;152;1.184.210.526
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;